--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
CPU type:	Intel Icelake SP processor
CPU clock:	2.39 GHz
--------------------------------------------------------------------------------
Running problem size 60^3 per domain until completion
Num processors: 1
Num threads: 1
Total number of elements: 216000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 1, time = 6.852019e-07, dt=6.852019e-07
cycle = 2, time = 1.507444e-06, dt=8.222423e-07
cycle = 3, time = 1.789278e-06, dt=2.818333e-07
cycle = 4, time = 2.024630e-06, dt=2.353527e-07
cycle = 5, time = 2.234438e-06, dt=2.098079e-07
cycle = 6, time = 2.429254e-06, dt=1.948161e-07
cycle = 7, time = 2.614474e-06, dt=1.852199e-07
cycle = 8, time = 2.793376e-06, dt=1.789023e-07
cycle = 9, time = 2.968181e-06, dt=1.748048e-07
cycle = 10, time = 3.140521e-06, dt=1.723397e-07
cycle = 11, time = 3.347329e-06, dt=2.068076e-07
cycle = 12, time = 3.580825e-06, dt=2.334965e-07
cycle = 13, time = 3.801554e-06, dt=2.207292e-07
cycle = 14, time = 4.009569e-06, dt=2.080144e-07
cycle = 15, time = 4.204856e-06, dt=1.952872e-07
cycle = 16, time = 4.391294e-06, dt=1.864386e-07
cycle = 17, time = 4.572177e-06, dt=1.808824e-07
cycle = 18, time = 4.750330e-06, dt=1.781535e-07
cycle = 19, time = 4.928456e-06, dt=1.781255e-07
cycle = 20, time = 5.106581e-06, dt=1.781255e-07
cycle = 21, time = 5.284707e-06, dt=1.781255e-07
cycle = 22, time = 5.462832e-06, dt=1.781255e-07
cycle = 23, time = 5.640958e-06, dt=1.781255e-07
cycle = 24, time = 5.838115e-06, dt=1.971575e-07
cycle = 25, time = 6.035273e-06, dt=1.971575e-07
cycle = 26, time = 6.232430e-06, dt=1.971575e-07
cycle = 27, time = 6.457155e-06, dt=2.247252e-07
cycle = 28, time = 6.681880e-06, dt=2.247252e-07
cycle = 29, time = 6.950244e-06, dt=2.683634e-07
cycle = 30, time = 7.254776e-06, dt=3.045323e-07
cycle = 31, time = 7.547127e-06, dt=2.923506e-07
cycle = 32, time = 7.829604e-06, dt=2.824770e-07
cycle = 33, time = 8.105297e-06, dt=2.756935e-07
cycle = 34, time = 8.376591e-06, dt=2.712932e-07
cycle = 35, time = 8.645899e-06, dt=2.693089e-07
cycle = 36, time = 8.915208e-06, dt=2.693089e-07
cycle = 37, time = 9.184517e-06, dt=2.693089e-07
cycle = 38, time = 9.453826e-06, dt=2.693089e-07
cycle = 39, time = 9.723135e-06, dt=2.693089e-07
cycle = 40, time = 1.002492e-05, dt=3.017811e-07
cycle = 41, time = 1.032670e-05, dt=3.017811e-07
cycle = 42, time = 1.062848e-05, dt=3.017811e-07
cycle = 43, time = 1.093026e-05, dt=3.017811e-07
cycle = 44, time = 1.123204e-05, dt=3.017811e-07
cycle = 45, time = 1.153141e-05, dt=2.993676e-07
cycle = 46, time = 1.182441e-05, dt=2.930026e-07
cycle = 47, time = 1.211197e-05, dt=2.875624e-07
cycle = 48, time = 1.239508e-05, dt=2.831021e-07
cycle = 49, time = 1.267466e-05, dt=2.795814e-07
cycle = 50, time = 1.295174e-05, dt=2.770851e-07
cycle = 51, time = 1.322733e-05, dt=2.755903e-07
cycle = 52, time = 1.350269e-05, dt=2.753625e-07
cycle = 53, time = 1.377806e-05, dt=2.753625e-07
cycle = 54, time = 1.405342e-05, dt=2.753625e-07
cycle = 55, time = 1.432878e-05, dt=2.753625e-07
cycle = 56, time = 1.460414e-05, dt=2.753625e-07
cycle = 57, time = 1.487951e-05, dt=2.753625e-07
cycle = 58, time = 1.518451e-05, dt=3.049994e-07
cycle = 59, time = 1.548951e-05, dt=3.049994e-07
cycle = 60, time = 1.582709e-05, dt=3.375868e-07
cycle = 61, time = 1.616468e-05, dt=3.375868e-07
cycle = 62, time = 1.654155e-05, dt=3.768751e-07
cycle = 63, time = 1.691843e-05, dt=3.768751e-07
cycle = 64, time = 1.729530e-05, dt=3.768751e-07
cycle = 65, time = 1.767218e-05, dt=3.768751e-07
cycle = 66, time = 1.804905e-05, dt=3.768751e-07
cycle = 67, time = 1.842593e-05, dt=3.768751e-07
cycle = 68, time = 1.880281e-05, dt=3.768751e-07
cycle = 69, time = 1.917968e-05, dt=3.768751e-07
cycle = 70, time = 1.955656e-05, dt=3.768751e-07
cycle = 71, time = 1.993343e-05, dt=3.768751e-07
cycle = 72, time = 2.031031e-05, dt=3.768751e-07
cycle = 73, time = 2.068718e-05, dt=3.768751e-07
cycle = 74, time = 2.106406e-05, dt=3.768751e-07
cycle = 75, time = 2.144093e-05, dt=3.768751e-07
cycle = 76, time = 2.181781e-05, dt=3.768751e-07
cycle = 77, time = 2.219468e-05, dt=3.768751e-07
cycle = 78, time = 2.257156e-05, dt=3.768751e-07
cycle = 79, time = 2.294843e-05, dt=3.768751e-07
cycle = 80, time = 2.332472e-05, dt=3.762917e-07
cycle = 81, time = 2.369355e-05, dt=3.688276e-07
cycle = 82, time = 2.405598e-05, dt=3.624289e-07
cycle = 83, time = 2.441317e-05, dt=3.571953e-07
cycle = 84, time = 2.476627e-05, dt=3.530923e-07
cycle = 85, time = 2.511638e-05, dt=3.501154e-07
cycle = 86, time = 2.546459e-05, dt=3.482050e-07
cycle = 87, time = 2.581190e-05, dt=3.473138e-07
cycle = 88, time = 2.615922e-05, dt=3.473138e-07
cycle = 89, time = 2.650653e-05, dt=3.473138e-07
cycle = 90, time = 2.685384e-05, dt=3.473138e-07
cycle = 91, time = 2.720116e-05, dt=3.473138e-07
cycle = 92, time = 2.754847e-05, dt=3.473138e-07
cycle = 93, time = 2.789578e-05, dt=3.473138e-07
cycle = 94, time = 2.824310e-05, dt=3.473138e-07
cycle = 95, time = 2.863609e-05, dt=3.929887e-07
cycle = 96, time = 2.902908e-05, dt=3.929887e-07
cycle = 97, time = 2.946791e-05, dt=4.388383e-07
cycle = 98, time = 2.990675e-05, dt=4.388383e-07
cycle = 99, time = 3.034559e-05, dt=4.388383e-07
cycle = 100, time = 3.083442e-05, dt=4.888315e-07
cycle = 101, time = 3.132325e-05, dt=4.888315e-07
cycle = 102, time = 3.181208e-05, dt=4.888315e-07
cycle = 103, time = 3.230092e-05, dt=4.888315e-07
cycle = 104, time = 3.278975e-05, dt=4.888315e-07
cycle = 105, time = 3.327858e-05, dt=4.888315e-07
cycle = 106, time = 3.376741e-05, dt=4.888315e-07
cycle = 107, time = 3.425624e-05, dt=4.888315e-07
cycle = 108, time = 3.474507e-05, dt=4.888315e-07
cycle = 109, time = 3.523390e-05, dt=4.888315e-07
cycle = 110, time = 3.572274e-05, dt=4.888315e-07
cycle = 111, time = 3.621157e-05, dt=4.888315e-07
cycle = 112, time = 3.670040e-05, dt=4.888315e-07
cycle = 113, time = 3.718923e-05, dt=4.888315e-07
cycle = 114, time = 3.767806e-05, dt=4.888315e-07
cycle = 115, time = 3.821946e-05, dt=5.413963e-07
cycle = 116, time = 3.876085e-05, dt=5.413963e-07
cycle = 117, time = 3.930225e-05, dt=5.413963e-07
cycle = 118, time = 3.983412e-05, dt=5.318645e-07
cycle = 119, time = 4.035340e-05, dt=5.192866e-07
cycle = 120, time = 4.086154e-05, dt=5.081379e-07
cycle = 121, time = 4.135993e-05, dt=4.983926e-07
cycle = 122, time = 4.184990e-05, dt=4.899664e-07
cycle = 123, time = 4.233267e-05, dt=4.827734e-07
cycle = 124, time = 4.280943e-05, dt=4.767579e-07
cycle = 125, time = 4.328133e-05, dt=4.719026e-07
cycle = 126, time = 4.374998e-05, dt=4.686426e-07
cycle = 127, time = 4.421706e-05, dt=4.670822e-07
cycle = 128, time = 4.468414e-05, dt=4.670822e-07
cycle = 129, time = 4.515122e-05, dt=4.670822e-07
cycle = 130, time = 4.561830e-05, dt=4.670822e-07
cycle = 131, time = 4.608539e-05, dt=4.670822e-07
cycle = 132, time = 4.655247e-05, dt=4.670822e-07
cycle = 133, time = 4.701955e-05, dt=4.670822e-07
cycle = 134, time = 4.748663e-05, dt=4.670822e-07
cycle = 135, time = 4.801501e-05, dt=5.283753e-07
cycle = 136, time = 4.854338e-05, dt=5.283753e-07
cycle = 137, time = 4.907176e-05, dt=5.283753e-07
cycle = 138, time = 4.960013e-05, dt=5.283753e-07
cycle = 139, time = 5.018333e-05, dt=5.831974e-07
cycle = 140, time = 5.076653e-05, dt=5.831974e-07
cycle = 141, time = 5.134973e-05, dt=5.831974e-07
cycle = 142, time = 5.193292e-05, dt=5.831974e-07
cycle = 143, time = 5.251612e-05, dt=5.831974e-07
cycle = 144, time = 5.309932e-05, dt=5.831974e-07
cycle = 145, time = 5.368252e-05, dt=5.831974e-07
cycle = 146, time = 5.426571e-05, dt=5.831974e-07
cycle = 147, time = 5.484891e-05, dt=5.831974e-07
cycle = 148, time = 5.549474e-05, dt=6.458317e-07
cycle = 149, time = 5.614057e-05, dt=6.458317e-07
cycle = 150, time = 5.678641e-05, dt=6.458317e-07
cycle = 151, time = 5.743224e-05, dt=6.458317e-07
cycle = 152, time = 5.807807e-05, dt=6.458317e-07
cycle = 153, time = 5.872390e-05, dt=6.458317e-07
cycle = 154, time = 5.936973e-05, dt=6.458317e-07
cycle = 155, time = 6.001556e-05, dt=6.458317e-07
cycle = 156, time = 6.066140e-05, dt=6.458317e-07
cycle = 157, time = 6.130723e-05, dt=6.458317e-07
cycle = 158, time = 6.195306e-05, dt=6.458317e-07
cycle = 159, time = 6.259889e-05, dt=6.458317e-07
cycle = 160, time = 6.323610e-05, dt=6.372130e-07
cycle = 161, time = 6.385995e-05, dt=6.238492e-07
cycle = 162, time = 6.447226e-05, dt=6.123058e-07
cycle = 163, time = 6.507484e-05, dt=6.025812e-07
cycle = 164, time = 6.566943e-05, dt=5.945874e-07
cycle = 165, time = 6.625771e-05, dt=5.882821e-07
