Threads	InitStressTermsForElems	 IntegrateStressForElems	CalcHourglassControlForElems	CalcFBHourglassForceForElems	CalcAccelerationForNodes	ApplyAccelerationBoundaryConditionsForNodes	CalcVelocityForNodes	 CalcKinematicsForElems	CalcLagrangeElements	Region CalcMonotonicQGradientsForElems	Region ApplyMaterialPropertiesForElems	EvalEOSForElems	CalcEnergyForElems:KERNEL_1	CalcPressureForElems	CalcEnergyForElems:KERNEL_2	CalcEnergyForElems:KERNEL_3	CalcEnergyForElems:KERNEL_4	CalcEnergyForElems:KERNEL_5	CalcSoundSpeedForElems	UpdateVolumesForElems	CalcCourantConstraintForElems	CalcHydroConstraintForElems
1	13841.9542	1979.5532	11116.007	5631.2346	15310.6702	13083.5506	22517.8953	2792.5146	18767.8628	5793.9425	13270.9064	14744.2389	19522.2634	16200.2952	20304.9298	18750.4039	19356.8355	19639.2872	20801.1789	20174.053	11533.9169	14631.1451
2	27914.8998	12804.495	24014.1134	17166.4644	30186.08	21958.3237	41277.5147	6040.4494	35955.5058	12492.4135	25243.1315	28582.7319	35408.7197	30498.1831	37580.4757	35495.8823	35771.0714	35945.818	37338.0427	35130.344	22546.8463	27557.1698
3	41048.8178	20291.5124	36841.855	26431.0944	44289.8593	30011.8375	54451.3199	9213.0292	50860.6111	18959.5226	34679.4409	40137.8008	47477.4065	42099.9887	50684.9348	49405.1683	48646.2716	48447.978	49786.2816	46731.0416	32744.1679	38508.8639
4	49249.3992	28053.5861	46512.8739	35357.4763	56249.2301	35703.2185	61689.4376	12351.4288	60207.8689	25420.3058	41943.3132	48417.0005	55338.9876	50566.7546	59437.4803	58355.1168	58290.8315	57903.6053	59167.2212	53764.8134	41949.0328	46085.7328
5	54937.2047	35279.4428	53799.5646	43677.9281	64711.9218	41091.2267	66497.6542	15472.6009	64663.6544	31743.9464	47524.8416	55129.8925	61424.1906	56318.2728	65303.0904	64987.1174	65863.1888	65367.3275	66414.1822	57569.9348	50414.0024	52803.9577
6	59151.7907	41755.4391	58401.8062	50833.8238	69766.5809	46401.7759	69767.6014	18594.2235	67651.9538	37874.9981	52002.1861	59471.1293	66968.7679	61345.5669	69832.0032	70137.3023	71008.8987	70610.5431	71323.5975	60929.4594	57648.8108	58872.5582
7	61926.1943	47441.5318	61550.5562	56928.9666	72308.105	51027.1735	72495.0603	21715.8329	70698.6505	43601.6608	55636.8997	62988.1216	69786.4324	64681.6674	72311.5995	73901.7337	74514.2404	74198.6074	74355.2184	64038.0508	63746.0169	63206.1234
8	64193.0657	52417.2467	63918.9111	61955.0101	73409.5122	55746.8394	73491.0622	24754.0501	72355.0934	49091.6811	58690.1938	64983.9534	72656.9206	67313.6176	73921.3602	76688.0593	76484.9678	76391.3596	76069.0958	66369.716	67534.4602	65936.6136
9	65605.9541	56458.0641	65886.9943	65826.5567	75037.1504	59554.2257	75015.2051	27876.2974	73004.3627	54183.4245	60745.0791	66993.0893	74859.5846	69714.4617	75362.7366	79554.9294	78141.5905	78380.5301	78134.4487	68272.8087	71948.0451	70545.3514
10	68227.0954	59523.6858	67319.9472	68654.1687	75520.4579	65310.2062	74713.803	30956.673	73405.3512	58813.1346	62662.4856	68419.7389	75850.0724	71635.6597	76058.1882	81496.6179	78938.6024	79527.6468	79387.1285	68685.2041	75303.5273	73585.9284
11	69144.8922	62284.2859	68640.98	70439.9528	76413.7897	69567.7985	76029.045	33992.4094	73404.9147	62728.1859	64216.1163	69711.3339	76416.4683	72677.9071	76286.4719	82856.9275	79322.2113	80160.4141	79932.7949	70293.5232	77656.0544	77222.9643
12	70680.5382	64482.4219	69574.3397	71607.0296	76706.3489	74163.4031	76040.4655	37029.0369	74968.4375	65956.2365	66212.0999	70504.0337	77313.2536	74265.1793	76787.3551	84043.0063	79714.3183	80658.197	80087.4294	72672.0451	81232.9319	80533.4626
13	71533.6462	66198.7758	70313.2505	72531.5333	75877.547	76871.0261	76202.9097	39971.049	74810.0721	68613.5811	67285.4824	70877.3806	77831.1318	75582.1162	76989.5393	84859.0142	79974.9904	80989.5466	80331.2324	72259.6263	82017.6551	82723.6925
14	71589.4863	67831.579	70963.4123	73316.9084	75860.6929	81345.5473	76658.1577	42886.1606	73488.3494	70842.0512	68195.0973	71365.0199	78008.1971	76040.2146	76890.9729	85437.263	79666.6819	80954.5274	80782.8328	73061.5951	84143.0284	84919.4174
15	72505.1585	69021.0817	71252.4795	73848.7863	76276.5133	86783.5554	76338.2427	45697.6002	73418.1224	72085.0227	69189.5289	71726.874	78173.4055	76354.8804	77500.807	85982.9278	80307.3783	81425.915	80589.378	74812.7165	83550.0256	85136.9031
16	71904.5444	69973.1658	71494.4413	74164.9745	76027.6113	94191.7171	76411.3579	48319.608	73739.7072	72693.3634	70066.9149	72486.8941	79303.8998	77649.3008	77785.4918	86432.9172	80533.0316	81679.773	80632.5228	75408.6149	85201.1007	86782.2959
17	72200.8417	70309.866	71368.9594	74361.8542	75684.2331	96327.9109	75971.4278	51414.6078	73455.6031	73298.3042	70831.8913	72646.5037	79077.9098	77567.6844	78052.5405	87056.5135	80692.5482	81864.9078	80909.7877	74932.0714	85570.6302	88355.6662
18	72405.6713	71106.441	70799.5968	74303.9052	75718.3314	102916.7955	75900.223	54020.1827	73767.0221	72944.5228	71260.5076	73207.5022	79288.6312	78090.5843	78147.1146	87989.557	80859.9221	82047.1322	81090.3861	74736.3143	86544.2264	89879.7721
