Threads	InitStressTermsForElems	 IntegrateStressForElems	CalcHourglassControlForElems	CalcFBHourglassForceForElems	CalcAccelerationForNodes	ApplyAccelerationBoundaryConditionsForNodes	CalcVelocityForNodes	 CalcKinematicsForElems	CalcLagrangeElements	CalcMonotonicQGradientsForElems	Region ApplyMaterialPropertiesForElems	EvalEOSForElems	CalcEnergyForElems:KERNEL_1	CalcPressureForElems	CalcEnergyForElems:KERNEL_2	CalcEnergyForElems:KERNEL_3	CalcEnergyForElems:KERNEL_4	CalcEnergyForElems:KERNEL_5	CalcSoundSpeedForElems	UpdateVolumesForElems	CalcCourantConstraintForElems	CalcHydroConstraintForElems
1	110.04	104.523	108.915	105.272	109.567	121.782	114.977	104.704	112.105	105.673	109.722	109.597	114.609	113.661	114.791	118.511	114.844	115.285	115.483	114.572	108.032	112.438
2	119.308	113.522	118.326	115.686	119.418	130.314	124.853	110.181	122.762	113.377	118.371	118.437	125.355	124.371	125.389	133.121	125.3	126.01	126.033	123.897	116.981	123.026
3	126.737	119.574	125.827	122.305	125.819	160.779	132.54	114.68	130.869	119.247	124.875	124.709	132.854	132.556	134.244	145.451	133.411	133.684	133.669	131.719	125.358	131.743
4	132.02	125.13	131.872	129.896	133.57	176.189	137.343	119.527	137.047	125.002	130.06	129.878	138.766	139.273	139.816	154.82	139.979	141.325	140.622	136.264	131.01	139.875
5	135.797	131.134	136.576	135.016	137.999	193.596	140.573	123.646	140.862	130.644	134.675	134.147	142.444	144.011	144.441	162.765	145.169	146.454	145.305	139.44	137.564	147.268
6	138.603	135.831	140.097	141.499	141.754	230.247	143.191	127.825	144.042	135.732	138.117	137.161	147.993	149.184	148.351	168.645	149.377	151.024	149.826	143.558	142.765	152.214
7	141.213	140.729	142.94	145.608	144.548	218.631	145.415	131.727	145.775	141.013	141.558	139.57	150.163	152.887	150.919	177.712	152.261	153.518	152.405	145.244	148.6	158.727
8	143.912	144.62	145.452	149.729	145.964	238.914	148.058	135.796	148.736	145.337	144.613	142.279	154.949	156.1	153.249	181.893	154.903	156.792	155.806	147.858	151.707	162.431
9	145.708	148.337	147.968	153.801	148.303	268.99	149.173	139.957	150.117	149.581	147.051	144.816	159.132	159.336	156.004	188.155	158.134	160.165	158.265	151.544	156.594	167.989
10	148.01	151.187	150.166	157.754	149.483	299.739	151.629	144.391	152.112	155.386	149.88	147.178	162.614	162.738	157.544	190.512	158.787	161.86	160.539	153.094	160.67	171.036
11	150.462	154.79	152.131	160.436	151.072	297.838	152.62	148.53	152.724	159.466	152.522	149.533	165.758	164.819	158.621	197.107	161.456	163.828	162.682	156.509	163.459	171.516
12	151.965	158.004	154.478	162.79	152.939	327.397	153.515	153.909	155.213	162.98	155.047	151.336	167.429	167.935	161.041	202.64	163.224	166.415	164.889	159.618	169.09	178.552
13	154.321	160.642	156.996	165.041	153.116	353.304	155.734	157.616	156.256	166.166	157.004	153.163	169.951	170.352	162.897	205.344	165.827	169.93	167.385	161.599	173.622	181.888
14	156.107	163.079	159.302	166.85	153.937	384.253	156.86	161.713	158.998	168.942	158.581	154.813	172.163	173.762	164.743	210.191	167.101	170.838	170.075	163.364	176.443	186.532
15	158.554	165.323	161.031	168.598	156.265	426.418	159.115	165.286	159.281	171.211	160.616	156.649	176.273	175.26	166.917	213.161	169.823	173.273	171.054	166.212	178.719	189.082
16	159.975	167.239	161.772	170.052	157.111	463.675	159.888	169.058	159.887	172.932	162.599	158.637	177.381	177.716	168.682	215.717	170.43	174.675	172.83	168.627	182.393	194.741
17	161.728	169.116	163.491	171.803	159.176	472.487	162.027	173.549	162.035	174.666	164.243	159.813	180.378	179.518	170.149	223.309	173.441	177.303	175.103	169.095	181.583	202.344
18	162.366	171.077	164.191	173.498	160.532	530.299	162.669	176.984	164.046	175.963	166.07	161.93	183.043	181.577	171.863	227.06	173.966	178.828	176.957	171.515	186.763	208.598
